time,latitude,longitude,depth,mag,ER,EG,EH
2024-11-15T12:43:14.438Z,63.1925,-152.737,0.0,2.1,62387565.66936221,17825018.76267492,8912509.38133746
2024-11-15T12:33:23.510Z,33.3501667,-115.7846667,4.68,1.84,25415463.83390712,7261561.095402036,3630780.547701018
2024-11-15T12:22:57.420Z,32.9855,-115.9486667,11.56,1.62,11887705.567232221,3396487.304923492,1698243.652461746
2024-11-15T11:57:42.009Z,61.0498,-146.338,8.6,2.3,124479558.70272458,35565588.200778455,17782794.100389227
2024-11-15T11:53:20.891Z,28.952,-98.314,8.3252,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-11-15T11:53:13.679Z,35.4405,-98.0255,5.0,2.12,66849481.02150058,19099851.72042874,9549925.86021437
2024-11-15T11:51:18.970Z,28.948,-98.31,2.8564,2.8,700000000.0,200000000.0,100000000.0
2024-11-15T11:49:23.700Z,38.836334228516,-122.78566741943,1.75,0.71,512977.1731972331,146564.9066277809,73282.45331389045
2024-11-15T11:43:41.678Z,36.6997,-116.1015,0.5,-0.2,22135.943621178652,6324.555320336759,3162.2776601683795
2024-11-15T11:41:13.080Z,35.539,-96.7575,4.71,-2.11,30.20633537794355,8.630381536555301,4.315190768277651
2024-11-15T11:38:17.024Z,-23.4723,170.5049,10.0,5.0,1396683620478.2178,399052462993.7766,199526231496.8883
2024-11-15T11:38:03.200Z,38.798332214355,-122.73266601562,0.58999997377396,0.77,631099.7963241698,180314.2275211914,90157.1137605957
2024-11-15T11:34:47.946Z,-6.252,129.7799,10.0,4.6,350831063539.09,100237446725.4543,50118723362.72715
2024-11-15T11:28:29.832Z,28.95,-98.304,4.8584,2.9,988776281.2359246,282507508.92454994,141253754.46227497
2024-11-15T11:01:04.920Z,38.820331573486,-122.84383392334,1.8200000524521,0.63,389132.98008928256,111180.85145408074,55590.42572704037
2024-11-15T10:54:54.780Z,36.314166666667,-120.89233333333,5.46,1.48,7329899.836356289,2094257.0961017972,1047128.5480508986
2024-11-15T10:52:41.660Z,38.824501037598,-122.80982971191,18.719999313354,0.84,803707.5350478173,229630.72429937636,114815.36214968818
2024-11-15T10:51:25.546Z,-5.6122,151.5265,51.718,4.6,350831063539.09,100237446725.4543,50118723362.72715
2024-11-15T10:49:30.252Z,68.8085,-146.2125,0.0,1.5,7854129.18011374,2244036.908603926,1122018.454301963
2024-11-15T10:45:34.120Z,38.834331512451,-122.81116485596,2.1199998855591,0.61,363160.0272502727,103760.0077857922,51880.0038928961
2024-11-15T10:42:20.475Z,61.8243,-151.1337,65.9,1.7,15671047.969978362,4477442.277136675,2238721.1385683375
2024-11-15T10:41:47.210Z,38.830333709717,-122.80200195312,2.6400001049042,0.32,133382.25025742708,38109.214359264886,19054.607179632443
2024-11-15T10:41:15.590Z,37.929,-122.0425,8.96,0.88,922779.7169894851,263651.3477112815,131825.67385564075
2024-11-15T10:41:07.227Z,-61.2858,153.9957,10.0,5.5,7854129180113.756,2244036908603.9307,1122018454301.9653
2024-11-15T10:39:23.706Z,-61.4248,154.2239,10.0,4.5,248369372463.5032,70962677846.71521,35481338923.357605
2024-11-15T10:38:56.697Z,-4.2103,143.6146,10.0,4.5,248369372463.5032,70962677846.71521,35481338923.357605
2024-11-15T10:25:07.020Z,31.9,-101.693,7.1533,1.2,2786750.1938744783,796214.341106994,398107.170553497
2024-11-15T10:23:21.589Z,61.5679,-146.3079,33.3,1.8,22135943.621178653,6324555.320336759,3162277.6601683795
2024-11-15T10:22:29.031Z,28.939,-98.308,6.1768,1.9,31267851.45056738,8933671.843019253,4466835.921509626
2024-11-15T10:21:45.879Z,28.944,-98.302,5.4932,1.6,11094252.347227799,3169786.3849222288,1584893.1924611144
2024-11-15T10:15:08.330Z,36.561666666667,-121.05116666667,6.25,1.69,15139029.66608914,4325437.0474540405,2162718.5237270202
2024-11-15T10:13:32.450Z,28.954,-98.31,8.4717,2.9,988776281.2359246,282507508.92454994,141253754.46227497
2024-11-15T10:00:50.220Z,53.396,-168.202,-1.0,-0.09,32366.671497948224,9247.620427985208,4623.810213992604
2024-11-15T09:55:19.149Z,35.53766667,-96.75016667,5.85,-1.59,182.01116942156887,52.003191263305396,26.001595631652698
2024-11-15T09:34:08.210Z,19.377000808716,-155.2336730957,1.8799999952316,1.75,18625075.418591656,5321450.119597618,2660725.059798809
2024-11-15T09:33:52.250Z,19.374000549316,-155.22067260742,1.9800000190735,1.73,17381931.737068973,4966266.2105911365,2483133.1052955682
2024-11-15T09:29:40.640Z,58.301833333333,-154.99333333333,2.84,-0.32,14625.072915978286,4178.592261708082,2089.296130854041
2024-11-15T09:23:37.720Z,19.372999191284,-155.20849609375,1.9199999570847,1.78,20658464.586664688,5902418.453332769,2951209.2266663844
2024-11-15T09:16:07.130Z,32.8251667,-115.7166667,7.74,1.87,28190192.402782165,8054340.686509191,4027170.3432545955
2024-11-15T09:11:02.560Z,-4.8293,153.137,66.809,4.6,350831063539.09,100237446725.4543,50118723362.72715
2024-11-15T09:08:02.461Z,43.674,-127.4647,10.0,3.4,5560297643.069952,1588656469.4485579,794328234.7242789
2024-11-15T09:05:47.820Z,35.54083333,-96.7545,4.62,-1.43,316.2991610624455,90.37118887498444,45.18559443749222
2024-11-15T09:03:17.430Z,48.121333333333,-114.30333333333,4.98,0.38,164096.01707239458,46884.576306398456,23442.288153199228
2024-11-15T09:02:01.836Z,41.0371,40.882,10.0,4.5,248369372463.5032,70962677846.71521,35481338923.357605
2024-11-15T08:59:49.070Z,44.772833333333,-110.61433333333,1.91,0.82,750063.5136663233,214303.86104752097,107151.93052376049
2024-11-15T08:57:42.970Z,33.5243333,-116.5443333,14.81,0.93,1096725.749075705,313350.21402163006,156675.10701081503
2024-11-15T08:51:45.210Z,35.54166667,-96.75733333,6.29,-0.38,11887.705567232197,3396.4873049234848,1698.2436524617424
2024-11-15T08:47:36.987Z,28.944,-98.288,3.6865,2.2,88124778.82559162,25178508.235883325,12589254.117941663
2024-11-15T08:46:06.577Z,14.1835,145.6544,107.402,4.2,88124778825.59198,25178508235.883427,12589254117.941713
2024-11-15T08:42:52.130Z,32.7601667,-115.425,11.03,1.86,27233160.149599634,7780902.89988561,3890451.449942805
2024-11-15T08:41:47.013Z,-19.3958,-172.9908,10.0,5.4,5560297643069.998,1588656469448.571,794328234724.2855
2024-11-15T08:38:53.890Z,38.836334228516,-122.79949951172,2.2000000476837,1.02,1496573.4626515626,427592.41790044657,213796.20895022328
2024-11-15T08:35:49.367Z,31.841,-101.697,6.2744,1.4,5560297.643069963,1588656.469448561,794328.2347242805
2024-11-15T08:27:06.950Z,19.189832687378,-155.48266601562,35.080001831055,1.90999997,32366668.144232694,9247619.469780771,4623809.7348903855
2024-11-15T08:24:30.030Z,61.159333333333,-152.26116666667,5.08,-0.29,16221.762549779356,4634.78929993696,2317.39464996848
2024-11-15T08:17:18.060Z,36.273,-89.472833333333,6.38,2.15,74147760.76240997,21185074.50354571,10592537.251772854
2024-11-15T08:08:24.100Z,36.1563333,-118.0695,3.4,1.12,2113966.2042814135,603990.3440804038,301995.1720402019
2024-11-15T08:05:48.296Z,39.8411,15.5658,265.157,4.3,124479558702.72458,35565588200.77846,17782794100.38923
2024-11-15T07:58:25.870Z,32.7581667,-115.4295,10.27,2.38,164096017.07239422,46884576.30639836,23442288.15319918
2024-11-15T07:51:22.030Z,38.835166931152,-122.81600189209,1.8899999856949,1.07,1778680.8938845107,508194.54110986023,254097.27055493012
2024-11-15T07:46:21.184Z,38.0,37.6336,10.0,4.9,988776281235.9287,282507508924.5511,141253754462.27554
2024-11-15T07:45:09.642Z,-5.6835,152.025,48.263,4.6,350831063539.09,100237446725.4543,50118723362.72715
2024-11-15T07:29:20.437Z,-5.8798,147.4761,88.534,4.8,700000000000.0,200000000000.0,100000000000.0
2024-11-15T07:14:16.178Z,32.409,-102.059,6.9092,1.5,7854129.18011374,2244036.908603926,1122018.454301963
2024-11-15T07:00:27.969Z,35.53666667,-96.75616667,6.5,-1.59,182.01116942156887,52.003191263305396,26.001595631652698
2024-11-15T06:58:39.880Z,35.53433333,-96.75966667,5.11,-1.34,431.61650130303707,123.31900037229633,61.659500186148165
2024-11-15T06:53:59.729Z,35.52083333,-96.77233333,1.77,-1.03,1259.2096405901511,359.7741830257575,179.88709151287875
2024-11-15T06:53:27.319Z,28.944,-98.31,4.9561,1.5,7854129.18011374,2244036.908603926,1122018.454301963
2024-11-15T06:43:09.360Z,33.825,-117.0328333,15.88,1.17,2512453.542515035,717843.8692900101,358921.93464500504
2024-11-15T06:37:26.960Z,38.832668304443,-122.80133056641,17.760000228882,1.2,2786750.1938744783,796214.341106994,398107.170553497
